,density,chama_inicial,Run,Burned Out,Fine,On Fire,width,height
0,0.25,5,0,0,2394,0,100,100
1,0.25,5,1,0,2479,0,100,100
2,0.25,5,2,0,2365,0,100,100
3,0.25,5,3,0,2418,0,100,100
4,0.25,5,4,0,2404,0,100,100
5,0.25,5,5,0,2390,0,100,100
6,0.25,5,6,0,2430,0,100,100
7,0.25,5,7,0,2362,0,100,100
8,0.25,5,8,0,2466,0,100,100
9,0.25,5,9,0,2453,0,100,100
10,0.25,50,10,0,2490,0,100,100
11,0.25,50,11,0,2467,0,100,100
12,0.25,50,12,0,2509,0,100,100
13,0.25,50,13,0,2464,0,100,100
14,0.25,50,14,0,2452,0,100,100
15,0.25,50,15,0,2487,0,100,100
16,0.25,50,16,0,2446,0,100,100
17,0.25,50,17,0,2535,0,100,100
18,0.25,50,18,0,2510,0,100,100
19,0.25,50,19,0,2451,0,100,100
20,0.25,80,20,0,2473,0,100,100
21,0.25,80,21,0,2501,0,100,100
22,0.25,80,22,0,2543,0,100,100
23,0.25,80,23,0,2523,0,100,100
24,0.25,80,24,0,2507,0,100,100
25,0.25,80,25,0,2465,0,100,100
26,0.25,80,26,0,2421,0,100,100
27,0.25,80,27,0,2403,0,100,100
28,0.25,80,28,0,2516,0,100,100
29,0.25,80,29,0,2511,0,100,100
30,0.5,5,30,0,121,0,100,100
31,0.5,5,31,0,121,0,100,100
32,0.5,5,32,0,88,0,100,100
33,0.5,5,33,0,81,0,100,100
34,0.5,5,34,0,128,0,100,100
35,0.5,5,35,0,116,0,100,100
36,0.5,5,36,0,133,0,100,100
37,0.5,5,37,0,73,0,100,100
38,0.5,5,38,0,169,0,100,100
39,0.5,5,39,0,102,0,100,100
40,0.5,50,40,0,213,0,100,100
41,0.5,50,41,0,99,0,100,100
42,0.5,50,42,0,119,0,100,100
43,0.5,50,43,0,103,0,100,100
44,0.5,50,44,0,118,0,100,100
45,0.5,50,45,0,107,0,100,100
46,0.5,50,46,0,165,0,100,100
47,0.5,50,47,0,81,0,100,100
48,0.5,50,48,0,95,0,100,100
49,0.5,50,49,0,164,0,100,100
50,0.5,80,50,0,168,0,100,100
51,0.5,80,51,0,90,0,100,100
52,0.5,80,52,0,130,0,100,100
53,0.5,80,53,0,113,0,100,100
54,0.5,80,54,0,161,0,100,100
55,0.5,80,55,0,106,0,100,100
56,0.5,80,56,0,172,0,100,100
57,0.5,80,57,0,105,0,100,100
58,0.5,80,58,0,135,0,100,100
59,0.5,80,59,0,152,0,100,100
60,0.75,5,60,0,1,0,100,100
61,0.75,5,61,0,0,0,100,100
62,0.75,5,62,0,0,0,100,100
63,0.75,5,63,0,0,0,100,100
64,0.75,5,64,0,0,0,100,100
65,0.75,5,65,0,2,0,100,100
66,0.75,5,66,0,0,0,100,100
67,0.75,5,67,0,0,0,100,100
68,0.75,5,68,0,0,0,100,100
69,0.75,5,69,0,0,0,100,100
70,0.75,50,70,0,2,0,100,100
71,0.75,50,71,0,2,0,100,100
72,0.75,50,72,0,0,0,100,100
73,0.75,50,73,0,2,0,100,100
74,0.75,50,74,0,3,0,100,100
75,0.75,50,75,0,2,0,100,100
76,0.75,50,76,0,2,0,100,100
77,0.75,50,77,0,0,0,100,100
78,0.75,50,78,0,0,0,100,100
79,0.75,50,79,0,1,0,100,100
80,0.75,80,80,0,0,0,100,100
81,0.75,80,81,0,1,0,100,100
82,0.75,80,82,0,0,0,100,100
83,0.75,80,83,0,0,0,100,100
84,0.75,80,84,0,3,0,100,100
85,0.75,80,85,0,0,0,100,100
86,0.75,80,86,0,3,0,100,100
87,0.75,80,87,0,0,0,100,100
88,0.75,80,88,0,3,0,100,100
89,0.75,80,89,0,1,0,100,100
