,density,prob_fire,start_fire,Run,Burned Out,Fine,Fire,height,width
0,0.4,0.4,50,0,43,3906,0,100,100
1,0.4,0.4,50,1,48,3947,0,100,100
2,0.4,0.4,50,2,32,3989,0,100,100
3,0.4,0.4,50,3,57,4046,0,100,100
4,0.4,0.4,50,4,32,4020,0,100,100
5,0.4,0.4,50,5,34,4006,0,100,100
6,0.4,0.4,50,6,25,3937,0,100,100
7,0.4,0.4,50,7,26,4020,0,100,100
8,0.4,0.4,50,8,43,4030,0,100,100
9,0.4,0.4,50,9,38,3926,0,100,100
10,0.4,0.4,50,10,38,3962,0,100,100
11,0.4,0.4,50,11,49,3905,0,100,100
12,0.4,0.4,50,12,52,3925,0,100,100
13,0.4,0.4,50,13,33,4035,0,100,100
14,0.4,0.4,50,14,54,4007,0,100,100
15,0.4,0.4,50,15,32,4023,0,100,100
16,0.4,0.4,50,16,42,3965,0,100,100
17,0.4,0.4,50,17,27,4018,0,100,100
18,0.4,0.4,50,18,66,3964,0,100,100
19,0.4,0.4,50,19,46,3968,0,100,100
20,0.4,0.4,50,20,41,3929,0,100,100
21,0.4,0.4,50,21,42,3945,0,100,100
22,0.4,0.4,50,22,34,3996,0,100,100
23,0.4,0.4,50,23,59,3950,0,100,100
24,0.4,0.4,50,24,51,4033,0,100,100
25,0.4,0.4,50,25,37,3958,0,100,100
26,0.4,0.4,50,26,39,3978,0,100,100
27,0.4,0.4,50,27,59,3931,0,100,100
28,0.4,0.4,50,28,52,3966,0,100,100
29,0.4,0.4,50,29,66,3916,0,100,100
30,0.4,0.4,50,30,50,3923,0,100,100
31,0.4,0.4,50,31,40,3963,0,100,100
32,0.4,0.4,50,32,37,4043,0,100,100
33,0.4,0.4,50,33,46,3990,0,100,100
34,0.4,0.4,50,34,40,3962,0,100,100
35,0.4,0.4,50,35,58,3974,0,100,100
36,0.4,0.4,50,36,57,4029,0,100,100
37,0.4,0.4,50,37,29,3979,0,100,100
38,0.4,0.4,50,38,34,3884,0,100,100
39,0.4,0.4,50,39,36,3994,0,100,100
40,0.4,0.4,50,40,27,4003,0,100,100
41,0.4,0.4,50,41,52,3983,0,100,100
42,0.4,0.4,50,42,35,3919,0,100,100
43,0.4,0.4,50,43,46,4007,0,100,100
44,0.4,0.4,50,44,40,3946,0,100,100
45,0.4,0.4,50,45,46,3886,0,100,100
46,0.4,0.4,50,46,25,4006,0,100,100
47,0.4,0.4,50,47,45,4033,0,100,100
48,0.4,0.4,50,48,35,3934,0,100,100
49,0.4,0.4,50,49,30,3961,0,100,100
50,0.4,0.4,50,50,24,3976,0,100,100
51,0.4,0.4,50,51,41,4011,0,100,100
52,0.4,0.4,50,52,52,3917,0,100,100
53,0.4,0.4,50,53,69,3946,0,100,100
54,0.4,0.4,50,54,30,3960,0,100,100
55,0.4,0.4,50,55,45,4003,0,100,100
56,0.4,0.4,50,56,36,3895,0,100,100
57,0.4,0.4,50,57,37,3966,0,100,100
58,0.4,0.4,50,58,49,3927,0,100,100
59,0.4,0.4,50,59,49,3994,0,100,100
60,0.4,0.4,50,60,38,3854,0,100,100
61,0.4,0.4,50,61,54,3933,0,100,100
62,0.4,0.4,50,62,55,4031,0,100,100
63,0.4,0.4,50,63,53,3896,0,100,100
64,0.4,0.4,50,64,64,3943,0,100,100
65,0.4,0.4,50,65,43,3968,0,100,100
66,0.4,0.4,50,66,49,3929,0,100,100
67,0.4,0.4,50,67,39,3943,0,100,100
68,0.4,0.4,50,68,77,3909,0,100,100
