,density,prob_fire,start_fire,Run,Burned Out,Fine,Fire,height,width
0,0.4,0.45,40,0,21,3915,0,100,100
1,0.4,0.45,40,1,24,4018,0,100,100
2,0.4,0.45,40,2,50,4079,0,100,100
3,0.4,0.45,40,3,43,3946,0,100,100
4,0.4,0.45,40,4,29,3982,0,100,100
5,0.4,0.45,40,5,35,3911,0,100,100
6,0.4,0.45,40,6,31,3971,0,100,100
7,0.4,0.45,40,7,43,3967,0,100,100
8,0.4,0.45,40,8,27,4053,0,100,100
9,0.4,0.45,40,9,17,3919,0,100,100
10,0.4,0.45,40,10,51,4037,0,100,100
11,0.4,0.45,40,11,36,3932,0,100,100
12,0.4,0.45,40,12,43,3970,0,100,100
13,0.4,0.45,40,13,39,3895,0,100,100
14,0.4,0.45,40,14,51,3987,0,100,100
15,0.4,0.45,40,15,53,4064,0,100,100
16,0.4,0.45,40,16,39,3982,0,100,100
17,0.4,0.45,40,17,37,4013,0,100,100
18,0.4,0.45,40,18,44,3959,0,100,100
19,0.4,0.45,40,19,64,3922,0,100,100
20,0.4,0.45,40,20,35,3941,0,100,100
21,0.4,0.45,40,21,30,3954,0,100,100
22,0.4,0.45,40,22,85,4027,0,100,100
23,0.4,0.45,40,23,38,3943,0,100,100
24,0.4,0.45,40,24,31,3995,0,100,100
25,0.4,0.45,40,25,47,3994,0,100,100
26,0.4,0.45,40,26,47,3958,0,100,100
27,0.4,0.45,40,27,35,3914,0,100,100
28,0.4,0.45,40,28,30,3919,0,100,100
29,0.4,0.45,40,29,26,3963,0,100,100
30,0.4,0.45,40,30,30,3993,0,100,100
31,0.4,0.45,40,31,19,4003,0,100,100
32,0.4,0.45,40,32,40,4021,0,100,100
33,0.4,0.45,40,33,44,4001,0,100,100
34,0.4,0.45,40,34,50,3999,0,100,100
35,0.4,0.45,40,35,45,4026,0,100,100
36,0.4,0.45,40,36,37,3858,0,100,100
37,0.4,0.45,40,37,44,3996,0,100,100
38,0.4,0.45,40,38,30,4039,0,100,100
39,0.4,0.45,40,39,34,3891,0,100,100
40,0.4,0.45,40,40,19,3960,0,100,100
41,0.4,0.45,40,41,32,3996,0,100,100
42,0.4,0.45,40,42,44,3899,0,100,100
43,0.4,0.45,40,43,38,3903,0,100,100
44,0.4,0.45,40,44,34,3990,0,100,100
45,0.4,0.45,40,45,31,3987,0,100,100
46,0.4,0.45,40,46,60,4019,0,100,100
47,0.4,0.45,40,47,27,3914,0,100,100
48,0.4,0.45,40,48,23,3971,0,100,100
49,0.4,0.45,40,49,42,3915,0,100,100
50,0.4,0.45,40,50,51,4057,0,100,100
51,0.4,0.45,40,51,31,3946,0,100,100
52,0.4,0.45,40,52,23,3999,0,100,100
53,0.4,0.45,40,53,24,4003,0,100,100
54,0.4,0.45,40,54,27,3891,0,100,100
55,0.4,0.45,40,55,55,3865,0,100,100
56,0.4,0.45,40,56,44,3894,0,100,100
57,0.4,0.45,40,57,51,3936,0,100,100
58,0.4,0.45,40,58,44,3934,0,100,100
59,0.4,0.45,40,59,30,4024,0,100,100
60,0.4,0.45,40,60,39,3963,0,100,100
61,0.4,0.45,40,61,39,4096,0,100,100
62,0.4,0.45,40,62,37,4003,0,100,100
63,0.4,0.45,40,63,36,3819,0,100,100
64,0.4,0.45,40,64,33,3889,0,100,100
65,0.4,0.45,40,65,35,4025,0,100,100
66,0.4,0.45,40,66,48,3942,0,100,100
67,0.4,0.45,40,67,39,3977,0,100,100
68,0.4,0.45,40,68,78,3928,0,100,100
69,0.4,0.45,40,69,33,3942,0,100,100
70,0.4,0.45,40,70,76,3989,0,100,100
71,0.4,0.45,40,71,22,4023,0,100,100
72,0.4,0.45,40,72,39,4012,0,100,100
73,0.4,0.45,40,73,45,3965,0,100,100
74,0.4,0.45,40,74,18,3980,0,100,100
75,0.4,0.45,40,75,21,3960,0,100,100
76,0.4,0.45,40,76,62,3903,0,100,100
77,0.4,0.45,40,77,40,4002,0,100,100
78,0.4,0.45,40,78,28,3935,0,100,100
79,0.4,0.45,40,79,19,4034,0,100,100
80,0.4,0.45,40,80,64,3874,0,100,100
81,0.4,0.45,40,81,41,3995,0,100,100
82,0.4,0.45,40,82,68,4016,0,100,100
83,0.4,0.45,40,83,27,3941,0,100,100
84,0.4,0.45,40,84,57,3976,0,100,100
85,0.4,0.45,40,85,70,3862,0,100,100
86,0.4,0.45,40,86,42,3905,0,100,100
87,0.4,0.45,40,87,23,3936,0,100,100
88,0.4,0.45,40,88,44,3891,0,100,100
89,0.4,0.45,40,89,46,3972,0,100,100
90,0.4,0.45,40,90,64,4033,0,100,100
91,0.4,0.45,40,91,32,3913,0,100,100
92,0.4,0.45,40,92,52,4020,0,100,100
93,0.4,0.45,40,93,44,3849,0,100,100
94,0.4,0.45,40,94,73,3949,0,100,100
95,0.4,0.45,40,95,43,3897,0,100,100
96,0.4,0.45,40,96,46,3890,0,100,100
97,0.4,0.45,40,97,36,3945,0,100,100
98,0.4,0.45,40,98,32,3999,0,100,100
99,0.4,0.45,40,99,41,3920,0,100,100
100,0.4,0.45,50,100,62,3992,0,100,100
101,0.4,0.45,50,101,26,4070,0,100,100
102,0.4,0.45,50,102,26,3889,0,100,100
103,0.4,0.45,50,103,64,3942,0,100,100
104,0.4,0.45,50,104,21,4037,0,100,100
105,0.4,0.45,50,105,26,3952,0,100,100
106,0.4,0.45,50,106,45,4005,0,100,100
107,0.4,0.45,50,107,52,3895,0,100,100
108,0.4,0.45,50,108,49,3854,0,100,100
109,0.4,0.45,50,109,27,3947,0,100,100
110,0.4,0.45,50,110,80,3884,0,100,100
111,0.4,0.45,50,111,76,3973,0,100,100
112,0.4,0.45,50,112,44,3997,0,100,100
113,0.4,0.45,50,113,41,3983,0,100,100
114,0.4,0.45,50,114,55,3986,0,100,100
115,0.4,0.45,50,115,40,3895,0,100,100
116,0.4,0.45,50,116,28,3937,0,100,100
117,0.4,0.45,50,117,101,3934,0,100,100
118,0.4,0.45,50,118,63,3873,0,100,100
119,0.4,0.45,50,119,108,3825,0,100,100
120,0.4,0.45,50,120,46,3999,0,100,100
121,0.4,0.45,50,121,32,3932,0,100,100
122,0.4,0.45,50,122,39,3939,0,100,100
123,0.4,0.45,50,123,24,3979,0,100,100
124,0.4,0.45,50,124,67,3951,0,100,100
125,0.4,0.45,50,125,76,3908,0,100,100
126,0.4,0.45,50,126,60,3986,0,100,100
127,0.4,0.45,50,127,57,3963,0,100,100
128,0.4,0.45,50,128,35,3993,0,100,100
129,0.4,0.45,50,129,34,3944,0,100,100
