,density,prob_fire,start_fire,Run,Burned Out,Fine,Fire,height,width
0,0.4,0.4,5,0,3,3862,0,100,100
1,0.4,0.4,5,1,12,4040,0,100,100
2,0.4,0.4,5,2,3,4040,0,100,100
3,0.4,0.4,5,3,8,3965,0,100,100
4,0.4,0.4,5,4,2,4019,0,100,100
5,0.4,0.4,5,5,2,4039,0,100,100
6,0.4,0.4,5,6,2,3977,0,100,100
7,0.4,0.4,5,7,3,3957,0,100,100
8,0.4,0.4,5,8,4,3980,0,100,100
9,0.4,0.4,5,9,3,3973,0,100,100
10,0.4,0.4,5,10,31,3990,0,100,100
11,0.4,0.4,5,11,6,3900,0,100,100
12,0.4,0.4,5,12,8,4017,0,100,100
13,0.4,0.4,5,13,2,3972,0,100,100
14,0.4,0.4,5,14,6,4076,0,100,100
15,0.4,0.4,5,15,3,3929,0,100,100
16,0.4,0.4,5,16,1,3987,0,100,100
17,0.4,0.4,5,17,1,3989,0,100,100
18,0.4,0.4,5,18,6,4063,0,100,100
19,0.4,0.4,5,19,11,3988,0,100,100
20,0.4,0.4,5,20,1,3989,0,100,100
21,0.4,0.4,5,21,10,3976,0,100,100
22,0.4,0.4,5,22,6,3948,0,100,100
23,0.4,0.4,5,23,6,3989,0,100,100
24,0.4,0.4,5,24,4,3910,0,100,100
25,0.4,0.4,5,25,1,4002,0,100,100
26,0.4,0.4,5,26,6,4005,0,100,100
27,0.4,0.4,5,27,1,3988,0,100,100
28,0.4,0.4,5,28,4,3951,0,100,100
29,0.4,0.4,5,29,3,4056,0,100,100
30,0.4,0.4,5,30,7,3988,0,100,100
31,0.4,0.4,5,31,0,3895,0,100,100
32,0.4,0.4,5,32,12,3979,0,100,100
33,0.4,0.4,5,33,4,3989,0,100,100
34,0.4,0.4,5,34,2,4073,0,100,100
35,0.4,0.4,5,35,3,3918,0,100,100
36,0.4,0.4,5,36,5,4043,0,100,100
37,0.4,0.4,5,37,5,3971,0,100,100
38,0.4,0.4,5,38,1,4003,0,100,100
39,0.4,0.4,5,39,3,4036,0,100,100
40,0.4,0.4,5,40,3,3955,0,100,100
41,0.4,0.4,5,41,10,3936,0,100,100
42,0.4,0.4,5,42,2,3951,0,100,100
